"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","C3","RP","EM","RI","OI","FU","FP","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","DL","D2","EA","PG","WC","WE","SC","GA","PM","OA","HC","HP","DA","UT"
"J","Oeriu, S; Racoveanu, N; Orghidan, G; Stamate, R",NA,NA,NA,"Oeriu, S.; Racoveanu, N.; Orghidan, G.; Stamate, R.",NA,NA,"INVESTIGATION OF THYROID ACTIVITY AS RELATED TO AGE AND TO FOLCYSTEINE TREATMENT IN ANIMALS","EXPERIMENTAL GERONTOLOGY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JUL",1965,"1","2",NA,NA,NA,NA,"173","175",NA,"10.1016/0531-5565(65)90020-3","http://dx.doi.org/10.1016/0531-5565(65)90020-3",NA,NA,NA,"Geriatrics & Gerontology",NA,"Geriatrics & Gerontology",NA,NA,NA,NA,NA,NA,NA
"J","Oeriu, S; Szantoi, I; Tigheciu, M",NA,NA,NA,"Oeriu, S.; Szantoi, I.; Tigheciu, M.",NA,NA,"THE TURNOVER OF SOME S-35-LABELLED THIOAMINO-ACIDS IN ANIMALS OF VARIOUS AGES","EXPERIMENTAL GERONTOLOGY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JUL",1965,"1","2",NA,NA,NA,NA,"177","179",NA,"10.1016/0531-5565(65)90021-5","http://dx.doi.org/10.1016/0531-5565(65)90021-5",NA,NA,NA,"Geriatrics & Gerontology",NA,"Geriatrics & Gerontology",NA,NA,NA,NA,NA,NA,NA
"J","POP, G",NA,NA,NA,"POP, G",NA,NA,"PALEOGEOGRAPHY AND MORPHOGENESIS OF THE FARCAS EROSION-SURFACE IN THE GILAU-MOUNTAINS (WESTERN CARPATHIAN MONTAINS)","PETERMANNS GEOGRAPHISCHE MITTEILUNGEN",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"110","1",NA,NA,NA,NA,"19","27",NA,NA,NA,NA,NA,NA,"Geography",NA,"Geography",NA,NA,NA,NA,NA,NA,NA
"J","SANDRU, I; CUCU, V",NA,NA,NA,"SANDRU, I; CUCU, V",NA,NA,"SOME CONSIDERATIONS ON DEVELOPMENT OF GEOGRAPHY IN SOCIALIST REPUBLIC OF RUMANIA","PROFESSIONAL GEOGRAPHER",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"18","4",NA,NA,NA,NA,"219","223",NA,"10.1111/j.0033-0124.1966.00219.x","http://dx.doi.org/10.1111/j.0033-0124.1966.00219.x",NA,NA,NA,"Geography",NA,"Geography",NA,NA,NA,NA,NA,NA,NA
"J","RUDEANU, S",NA,NA,NA,"RUDEANU, S",NA,NA,"NOTES ON THE EXISTENCE AND UNIQUENESS OF GRAPH NUCLEUS .2. APPLICATION OF BOOLEAN EQUATIONS","REVUE FRANCAISE DE RECHERCHE OPERATIONNELE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"10","41",NA,NA,NA,NA,"301","301",NA,NA,NA,NA,NA,NA,"Business; Management; Operations Research & Management Science",NA,"Business & Economics; Operations Research & Management Science",NA,NA,NA,NA,NA,NA,NA
"J","Vasiliu, E",NA,NA,NA,"Vasiliu, E.",NA,NA,"Towards a generative phonology of Daco-Rumanian dialects","JOURNAL OF LINGUISTICS",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APR",1966,"2","1",NA,NA,NA,NA,"79","98",NA,"10.1017/S0022226700001341","http://dx.doi.org/10.1017/S0022226700001341",NA,NA,NA,"Linguistics; Language & Linguistics",NA,"Linguistics",NA,NA,NA,NA,NA,NA,NA
"J","Oeriu, S; Sterescu, N; Stancu-Ardeleanu, A",NA,NA,NA,"Oeriu, S.; Sterescu, N.; Stancu-Ardeleanu, Alexandra",NA,NA,"RADIOPHOSPHORUS (P-32) UPTAKE BY SOME VISCERA AND ENDOCRINE GLANDS BEFORE AND AFTER THE ADMINISTRATION OF FOLCYSTEINE IN NORMAL OLD ANIMALS AND IN OLD ANIMALS WITH HYPOTHYROIDISM INDUCED BY SYNTHETIC ANTITHYROID DRUGS","EXPERIMENTAL GERONTOLOGY",NA,NA,NA,"Editorial Material",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUG",1966,"2","1",NA,NA,NA,NA,"43","46",NA,"10.1016/0531-5565(66)90008-8","http://dx.doi.org/10.1016/0531-5565(66)90008-8",NA,NA,NA,"Geriatrics & Gerontology",NA,"Geriatrics & Gerontology",NA,NA,NA,NA,NA,NA,NA
"J","IVANESCU, PL; RUDEANU, S",NA,NA,NA,"IVANESCU, PL; RUDEANU, S",NA,NA,"BOOLEAN METHODS IN OPERATIONS RESEARCH","EKONOMICKO-MATEMATICKY OBZOR",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"3","4",NA,NA,NA,NA,"422","443",NA,NA,NA,NA,NA,NA,"Economics",NA,"Business & Economics",NA,NA,NA,NA,NA,NA,NA
"J","PAVLID, V",NA,NA,NA,"PAVLID, V",NA,NA,"RESEARCH ON EFFECTIVENESS OF CURIOSITY-AROUSING METHODS OF HEALTH EDUCATION","INTERNATIONAL JOURNAL OF HEALTH EDUCATION",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"10","2",NA,NA,NA,NA,"75","84",NA,NA,NA,NA,NA,NA,"Education & Educational Research; Public, Environmental & Occupational Health",NA,"Education & Educational Research; Public, Environmental & Occupational Health",NA,NA,NA,NA,NA,NA,NA
"J","MILLER, L",NA,NA,NA,"MILLER, L",NA,NA,"RECONCILING STABILITY AND MOBILITY IN EMPLOYMENT RELATIONSHIPS IN RUMANIAN LAW","INTERNATIONAL LABOUR REVIEW",NA,NA,NA,"Review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"96","2",NA,NA,NA,NA,"177","193",NA,NA,NA,NA,NA,NA,"Economics; Industrial Relations & Labor",NA,"Business & Economics",NA,NA,NA,NA,NA,NA,NA
"J","MARCUS, S",NA,NA,NA,"MARCUS, S",NA,NA,"MATHEMATICAL ASPECTS OF LINGUISTICS","INTERNATIONAL SOCIAL SCIENCE JOURNAL",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"19","1",NA,NA,NA,NA,"52","63",NA,NA,NA,NA,NA,NA,"Social Sciences, Interdisciplinary",NA,"Social Sciences - Other Topics",NA,NA,NA,NA,NA,NA,NA
"J","DAICOVICIU, C",NA,NA,NA,"DAICOVICIU, C",NA,NA,"PROBLEMS OF THE PROVINCIAL ROMAN HISTORY OF DACIA","EAST EUROPEAN QUARTERLY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"2","2",NA,NA,NA,NA,"109","115",NA,NA,NA,NA,NA,NA,"Area Studies",NA,"Area Studies",NA,NA,NA,NA,NA,NA,NA
"J","BERZA, M",NA,NA,NA,"BERZA, M",NA,NA,"JORGA,N (1871-1940)","EAST EUROPEAN QUARTERLY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"2","3",NA,NA,NA,NA,"241","257",NA,NA,NA,NA,NA,NA,"Area Studies",NA,"Area Studies",NA,NA,NA,NA,NA,NA,NA
"J","GRUNBERG, L",NA,NA,NA,"GRUNBERG, L",NA,NA,"MARX AND SOCIAL PERSPECTIVE OF AXIOLOGY","HOMME ET LA SOCIETE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,NA,"10",NA,NA,NA,NA,"103","110",NA,NA,NA,NA,NA,NA,"Economics; Social Sciences, Interdisciplinary; Sociology",NA,"Business & Economics; Social Sciences - Other Topics; Sociology",NA,NA,NA,NA,NA,NA,NA
"J","PAVLID, V",NA,NA,NA,"PAVLID, V",NA,NA,"RESEARCH INTO HEALTH KNOWLEDGE AND BEHAVIOUR OF SCHOOLCHILDREN","INTERNATIONAL JOURNAL OF HEALTH EDUCATION",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"11","3",NA,NA,NA,NA,"116","125",NA,NA,NA,NA,NA,NA,"Education & Educational Research; Public, Environmental & Occupational Health",NA,"Education & Educational Research; Public, Environmental & Occupational Health",NA,NA,NA,NA,NA,NA,NA
